Region,Area,EN,JA
,baskes-region,Baskes Region,バスケス地方
,stellard-southern-archipelago,Stellard Southern Archipelago,ステラード南部諸島
,dusk-sea,Dusk Sea,黄昏の海
,eastern-continent,Eastern Continent,東部大陸
,unexplored-lands,Unexplored Lands,未踏の大地
baskes-region,lush-valley,Lush Valley,豊かの谷
baskes-region,land-of-fallen-stars,Land of Fallen Stars,星の堕ちた地
baskes-region,woods-of-eternal-night,Woods of Eternal Night,常夜林道
baskes-region,land-of-the-dead,Land of the Dead,死者の地
baskes-region,ancient-ruins,Ancient Ruins,古の遺跡
baskes-region,ruins-of-frozen-time,Ruins of Frozen Time,時の止まりし遺構
baskes-region,facility-ruins,Facility Ruins,施設跡
baskes-region,hill-of-silence,Hill of Silence,沈黙の丘
baskes-region,abandoned-factory,Abandoned Factory,廃工場
baskes-region,solice-trade-camp,Solice Trade Camp,孤島の交易キャンプ
baskes-region,filled-cave,Filled Cave,満ちたる洞窟
baskes-region,sea-of-eternity,Sea of Eternity,奈落の海
baskes-region,geofront,Geofront,ジオフロント
stellard-southern-archipelago,fertile-sea-eastern-area,Fertile Sea - Eastern Area,豊饒の海・東部
stellard-southern-archipelago,fertile-sea,Fertile Sea,豊饒の海
stellard-southern-archipelago,fertile-sea-northern-area,Fertile Sea - Northern Area,豊饒の海・北部
stellard-southern-archipelago,plaza-of-great-trees,Plaza of Great Trees,大木広場
stellard-southern-archipelago,green-desert,Green Desert,緑の砂漠
stellard-southern-archipelago,spine-post,Spine Post,背骨の宿場
stellard-southern-archipelago,sandy-shore,Sandy Shore,砂底ヶ浜
stellard-southern-archipelago,seat-of-eternity,Seat of Eternity,悠久の座
dusk-sea,sandy-ruins,Sandy Ruins,砂中遺跡
dusk-sea,rotted-forest,Rotted Forest,朽ちた原生林
dusk-sea,eastern-sea-of-smoke,Eastern Sea of Smoke,煙る東の海
dusk-sea,trade-ship-graveyard,Trade Ship Graveyard,交易船の墓場
dusk-sea,drifting-ghost-ship,Drifting Ghost Ship,たゆたう幽霊船
dusk-sea,forgotten-laboratory,Forgotten Laboratory,忘れられた研究所
dusk-sea,cape-of-the-end,Cape of the End,終末岬
dusk-sea,castle-of-mirages,Castle of Mirages,陽炎の城
eastern-continent,nomad-camp,Nomad Camp,流浪の民のキャンプ
eastern-continent,hidden-forest,Hidden Forest,隠された森
eastern-continent,crystal-valley,Crystal Valley,結晶渓谷
eastern-continent,hole-of-the-dead,Hole of the Dead,亡者の穴
eastern-continent,drifting-cemetery,Drifting Cemetery,漂流墓地
eastern-continent,heaven-s-vine,Heaven's Vine,天上カズラ
eastern-continent,heaven-s-vine-root-division,Heaven's Vine - Root Division,天上カズラ・株分け
eastern-continent,heaven-s-vine-sapling,Heaven's Vine - Sapling,天上カズラ・若木
eastern-continent,the-furthest-village,The Furthest Village,最果て集落
eastern-continent,herb-garden,Herb Garden,地下薬草園
eastern-continent,herb-garden-depths,Herb Garden - Depths,地下薬草園・深層
eastern-continent,hidden-cave,Hidden Cave,秘められし洞窟
unexplored-lands,tunnel-of-plants,Tunnel of Plants,植物坑道
unexplored-lands,water-garden-of-origins,Water Garden of Origins,原初の水園
unexplored-lands,forest-of-miracles,Forest of Miracles,奇跡の森
unexplored-lands,path-to-the-altar,Path to the Altar,祭壇へ至る道
unexplored-lands,altar-of-spirits,Altar of Spirits,精霊の祭壇